Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Alfredo Tomassini,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1991.0,33.0,Alfredo Tomassini-Ventanilla-Callao
América Latina FBC,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,1989.0,35.0,América Latina FBC-Bellavista-Callao
AE Belenianos,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1988.0,36.0,AE Belenianos-Ventanilla-Callao
Atlético Chalaco,Callao,Colegio José Olaya,Copa Perú,Callao,1902.0,122.0,Atlético Chalaco-Callao-Callao
Atlético Deportivo Olímpico,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1964.0,60.0,Atlético Deportivo Olímpico-Ventanilla-Callao
Atlético Nacional,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1965.0,59.0,Atlético Nacional-Ventanilla-Callao
Atlético Satélite,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1964.0,60.0,Atlético Satélite-Ventanilla-Callao
Atlético Barrio Frigorífico,Callao,Colegio José Olaya,Copa Perú,Callao,1939.0,85.0,Atlético Barrio Frigorífico-Callao-Callao
Cultural América,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1951.0,73.0,Cultural América-La Legua - Reynoso-Callao
Cultural Centella,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1970.0,54.0,Cultural Centella-La Legua - Reynoso-Callao
Cultural Peñarol,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1964.0,60.0,Cultural Peñarol-La Legua - Reynoso-Callao
Defensor Reynoso,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1958.0,66.0,Defensor Reynoso-La Legua - Reynoso-Callao
Defensor Tacna,La Perla,Estadio Gualberto Lizárraga,Copa Perú,Callao,1960.0,64.0,Defensor Tacna-La Perla-Callao
Deportivo AEB,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1988.0,36.0,Deportivo AEB-Ventanilla-Callao
Deportivo Colonial,Callao,Colegio José Olaya,Copa Perú,Callao,1940.0,84.0,Deportivo Colonial-Callao-Callao
Deportivo Faucett,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1974.0,50.0,Deportivo Faucett-La Legua - Reynoso-Callao
Deportivo Sima,Callao,Colegio José Olaya,Copa Perú,Callao,1961.0,63.0,Deportivo Sima-Callao-Callao
Dynamo Callao,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1968.0,56.0,Dynamo Callao-La Legua - Reynoso-Callao
Estrella Azul,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1974.0,50.0,Estrella Azul-Ventanilla-Callao
Halcones de Dulanto,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1965.0,59.0,Halcones de Dulanto-Callao-Callao
Hijos de Ventanilla,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,2017.0,7.0,Hijos de Ventanilla-Ventanilla-Callao
Hijos de Yurimaguas,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1967.0,57.0,Hijos de Yurimaguas-Ventanilla-Callao
Independiente Unión Chalaca,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,2016.0,8.0,Independiente Unión Chalaca-Callao-Callao
Íntimos de Reynoso,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1965.0,59.0,Íntimos de Reynoso-La Legua - Reynoso-Callao
José Gálvez,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1965.0,59.0,José Gálvez-La Legua - Reynoso-Callao
José López Pazos,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1957.0,67.0,José López Pazos-La Legua - Reynoso-Callao
Juventud La Perla,La Perla,Estadio Gualberto Lizárraga,Copa Perú,Callao,1956.0,68.0,Juventud La Perla-La Perla-Callao
Juventud Palmeiras,Mi Perú,Estadio Municipal de Mi Perú,Copa Perú,Callao,2002.0,22.0,Juventud Palmeiras-Mi Perú-Callao
KDT Nacional,Callao,Estadio Gualberto Lizárraga,Copa Perú,Callao,1931.0,93.0,KDT Nacional-Callao-Callao
Nuevo Callao,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1953.0,71.0,Nuevo Callao-La Legua - Reynoso-Callao
Olímpico Callao,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1976.0,48.0,Olímpico Callao-Callao-Callao
Pilsen Callao,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1976.0,48.0,Pilsen Callao-Callao-Callao
San Judas Tadeo,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,2013.0,11.0,San Judas Tadeo-Bellavista-Callao
Santa Marina Norte,Callao,Colegio José Olaya,Copa Perú,Callao,1959.0,65.0,Santa Marina Norte-Callao-Callao
Santo Domingo,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1948.0,76.0,Santo Domingo-Ventanilla-Callao
Somos Aduanas,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,1996.0,28.0,Somos Aduanas-Bellavista-Callao
Sport Boys,Callao,Estadio Miguel Grau,Primera División,Callao,1928.0,96.0,Sport Boys-Callao-Callao
Sport Callao,Callao,Estadio Colegio José Olaya,Copa Perú,Callao,2017.0,7.0,Sport Callao-Callao-Callao
Sport Las Mercedes,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1956.0,68.0,Sport Las Mercedes-Ventanilla-Callao
Sportivo Huáscar,La Perla,Estadio Gualberto Lizárraga,Copa Perú,Callao,1934.0,90.0,Sportivo Huáscar-La Perla-Callao
Sucre Callao,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1955.0,69.0,Sucre Callao-Callao-Callao
Unión Fuerza Chalaca,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,2016.0,8.0,Unión Fuerza Chalaca-Bellavista-Callao
ACD Imperio del Sur,Calca,Estadio Tomás E. Payne,Copa Perú,Cusco,2017.0,7.0,ACD Imperio del Sur-Calca-Cusco
Alianza Zarzuela,Santiago,Estadio El Bosque de Ccoripata,Copa Perú,Cusco,1972.0,52.0,Alianza Zarzuela-Santiago-Cusco
Agropecuario,Calca,Estadio Thomas E.Payne,Copa Perú,Cusco,1959.0,65.0,Agropecuario-Calca-Cusco
Agustín Gamarra,Izcuchaca,Estadio Municipal Alberto Díaz,Copa Perú,Cusco,,,Agustín Gamarra-Izcuchaca-Cusco
Alfredo Salinas,Yauri,Estadio Municipal de Espinar,Copa Perú,Cusco,2012.0,12.0,Alfredo Salinas-Yauri-Cusco
Atlético Estrella,Oropesa,Estadio Municipal de Oropesa,Copa Perú,Cusco,,,Atlético Estrella-Oropesa-Cusco
Atlético Juventud Inclán,Calca,Estadio Thomas E. Payne,Copa Perú,Cusco,1993.0,31.0,Atlético Juventud Inclán-Calca-Cusco
Atlético Sicuani,Sicuani,Estadio Túpac Amaru,Copa Perú,Cusco,1937.0,87.0,Atlético Sicuani-Sicuani-Cusco
Ciclón Manco Cápac,Wánchaq,Estadio José Santos Tamayo,Copa Perú,Cusco,1953.0,71.0,Ciclón Manco Cápac-Wánchaq-Cusco
Cienciano,Cusco,Estadio Inca Garcilaso de la Vega,Primera División,Cusco,1901.0,123.0,Cienciano-Cusco-Cusco
Cultural Agropecuario,Velille,Estadio Pataccsillo de Velille,Copa Perú,Cusco,1961.0,63.0,Cultural Agropecuario-Velille-Cusco
Club Cultural Manco II,Quillabamba,Estadio Municipal de Quillabamba,Copa Perú,Cusco,1957.0,67.0,Club Cultural Manco II-Quillabamba-Cusco
Cusco FC,Cusco,Estadio Inca Garcilaso de la Vega,Primera División,Cusco,2010.0,14.0,Cusco FC-Cusco-Cusco
Defensor Espinar,Yauri,Estadio Municipal de Espinar,Copa Perú,Cusco,1972.0,52.0,Defensor Espinar-Yauri-Cusco
Defensor Maranura,Maranura,Estadio Municipal de Maranura,Copa Perú,Cusco,1972.0,52.0,Defensor Maranura-Maranura-Cusco
Defensor Mayohuaylla,Zurite,Estadio Tambo Real,Copa Perú,Cusco,1969.0,55.0,Defensor Mayohuaylla-Zurite-Cusco
Defensor Yucay,Yucay,Estadio Municipal de Yucay,Copa Perú,Cusco,1973.0,51.0,Defensor Yucay-Yucay-Cusco
Deportivo Garcilaso,Cusco,Estadio Inca Garcilaso de la Vega,Primera División,Cusco,1957.0,67.0,Deportivo Garcilaso-Cusco-Cusco
Deportivo Marquesado,Yucay,Estadio Municipal de Yucay,Copa Perú,Cusco,1969.0,55.0,Deportivo Marquesado-Yucay-Cusco
Deportivo Municipal,Quillabamba,Estadio Municipal de Quillabamba,Copa Perú,Cusco,1948.0,76.0,Deportivo Municipal-Quillabamba-Cusco
Deportivo Palmeiras,Huayllabamba,Estadio Francisco Tamayo,Copa Perú,Cusco,1977.0,47.0,Deportivo Palmeiras-Huayllabamba-Cusco
Deportivo Pumacahua,Sicuani,Estadio Túpac Amaru,Copa Perú,Cusco,1919.0,105.0,Deportivo Pumacahua-Sicuani-Cusco
Deportivo Tintaya,Yauri,Estadio Túpac Amaru,Copa Perú,Cusco,1972.0,52.0,Deportivo Tintaya-Yauri-Cusco
Deportivo Yanatile,Yanatile,Estadio Municipal de Yanatile,Copa Perú,Cusco,1985.0,39.0,Deportivo Yanatile-Yanatile-Cusco
Deportivo Yawar's,Ollantaytambo,Estadio Orccohuaranca,Copa Perú,Cusco,1982.0,42.0,Deportivo Yawar's-Ollantaytambo-Cusco
Deportivo Yawarmayu,Santo Tomás,Estadio Municipal Santo Tomás,Copa Perú,Cusco,2010.0,14.0,Deportivo Yawarmayu-Santo Tomás-Cusco
Estudiantes Garcilaso,Wánchaq,Estadio José Santos Tamayo,Copa Perú,Cusco,1973.0,51.0,Estudiantes Garcilaso-Wánchaq-Cusco
Humberto Luna,Calca,Estadio Tomás E. Payne,Copa Perú,Cusco,1927.0,97.0,Humberto Luna-Calca-Cusco
Huracán Llaquepata,Taray,Estadio Municipal Taray,Copa Perú,Cusco,1988.0,36.0,Huracán Llaquepata-Taray-Cusco
Ingeniería Civil,Cusco,Estadio Universitario,Copa Perú,Cusco,1983.0,41.0,Ingeniería Civil-Cusco-Cusco
Juventud Progreso,Wánchaq,Estadio José Santos Tamayo,Copa Perú,Cusco,1987.0,37.0,Juventud Progreso-Wánchaq-Cusco
Municipal de Pichari,Pichari,Estadio Monumental del VRAEM,Copa Perú,Cusco,1996.0,28.0,Municipal de Pichari-Pichari-Cusco
Olímpicos de Mask'a,Huanoquite,Estadio Leoncio Paz de Huanoquite,Copa Perú,Cusco,1980.0,44.0,Olímpicos de Mask'a-Huanoquite-Cusco
Olímpicos de Zurite,Zurite,Estadio Tambo Real,Copa Perú,Cusco,1979.0,45.0,Olímpicos de Zurite-Zurite-Cusco
Pluma de Oro,San Jerónimo,Estadio Municipal de San Jerónimo,Copa Perú,Cusco,1984.0,40.0,Pluma de Oro-San Jerónimo-Cusco
Real Municipal,Coporaque,Estadio Municipal de Espinar,Copa Perú,Cusco,2004.0,20.0,Real Municipal-Coporaque-Cusco
River Plate,Ancahuasi,Estadio Municipal de Ancahuasi,Copa Perú,Cusco,1999.0,25.0,River Plate-Ancahuasi-Cusco
Salesianos,Cusco,Estadio Universitario,Copa Perú,Cusco,1971.0,53.0,Salesianos-Cusco-Cusco
Social Abancay,Cusco,Estadio Universitario,Copa Perú,Cusco,2002.0,22.0,Social Abancay-Cusco-Cusco
Star Power,Oropesa,Estadio Municipal Silki,Copa Perú,Cusco,1983.0,41.0,Star Power-Oropesa-Cusco
Unión Alto Huarca,Coporaque,Estadio Municipal de Espinar,Copa Perú,Cusco,2012.0,12.0,Unión Alto Huarca-Coporaque-Cusco
Unión Juvenil,Huayllabamba,Estadio Francisco Tamayo,Copa Perú,Cusco,1966.0,58.0,Unión Juvenil-Huayllabamba-Cusco
Unión Porvenir,Coya,Estadio Municipal de Coya,Copa Perú,Cusco,1926.0,98.0,Unión Porvenir-Coya-Cusco
Unión Pumacahuina,Sicuani,Estadio Túpac Amaru,Copa Perú,Cusco,1943.0,81.0,Unión Pumacahuina-Sicuani-Cusco
Universitario del Cusco,Cusco,Estadio Universitario,Copa Perú,Cusco,1904.0,120.0,Universitario del Cusco-Cusco-Cusco
V.I.C.A.,Anta,Estadio Municipal Alberto Díaz,Copa Perú,Cusco,2010.0,14.0,V.I.C.A.-Anta-Cusco
Líder,Ollantaytambo,Estadio Orccohuaranca,Copa Perú,Cusco,1983.0,41.0,Líder-Ollantaytambo-Cusco
Centro Juventud Huaytará,Huaytará,Estadio Municipal de Huaytará,Copa Perú,Huancavelica,1938.0,86.0,Centro Juventud Huaytará-Huaytará-Huancavelica
Cultural Bolognesi,Huancavelica,Estadio Villa Rica de Oropesa,Copa Perú,Huancavelica,1976.0,48.0,Cultural Bolognesi-Huancavelica-Huancavelica
Deportivo Cobra,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1980.0,44.0,Deportivo Cobra-Huancavelica-Huancavelica
Diablos Rojos,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1969.0,55.0,Diablos Rojos-Huancavelica-Huancavelica
Estrella Roja,Huancavelica,Estadio Villa Rica de Oropesa,Copa Perú,Huancavelica,1965.0,59.0,Estrella Roja-Huancavelica-Huancavelica
Estudiantes Unidos,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1953.0,71.0,Estudiantes Unidos-Huancavelica-Huancavelica
Racing FBC,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1942.0,82.0,Racing FBC-Huancavelica-Huancavelica
Real Unión Santa Ana,Huancavelica,Estadio Villa Rica de Oropesa,Copa Perú,Huancavelica,1961.0,63.0,Real Unión Santa Ana-Huancavelica-Huancavelica
San Cristóbal,Huancavelica,Estadio Villa Rica de Oropesa,Copa Perú,Huancavelica,1967.0,57.0,San Cristóbal-Huancavelica-Huancavelica
San Juan,Pilpichaca,Estadio Municipal de Pilpichaca,Copa Perú,Huancavelica,1954.0,70.0,San Juan-Pilpichaca-Huancavelica
Social Lircay,Lircay,Estadio Alberto Vargas,Copa Perú,Huancavelica,1957.0,67.0,Social Lircay-Lircay-Huancavelica
Sol de Oro,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1971.0,53.0,Sol de Oro-Huancavelica-Huancavelica
UDA,Ascensión,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1960.0,64.0,UDA-Ascensión-Huancavelica
Unión Quichuas,Quichuas,Estadio Municipal de Quichuas,Copa Perú,Huancavelica,1975.0,49.0,Unión Quichuas-Quichuas-Huancavelica
Alianza Cruzpampa,Pachas,Estadio Municipal de Pachas,Copa Perú,Huánuco,1931.0,93.0,Alianza Cruzpampa-Pachas-Huánuco
Alianza Universidad,Huánuco,Estadio Heraclio Tapia,Segunda División,Huánuco,1939.0,85.0,Alianza Universidad-Huánuco-Huánuco
Brisas del Huallaga,Tingo María,Estadio IPD de Tingo María,Copa Perú,Huánuco,2005.0,19.0,Brisas del Huallaga-Tingo María-Huánuco
Cultural Tarapacá,Huánuco,Estadio Heraclio Tapia,Copa Perú,Huánuco,1918.0,106.0,Cultural Tarapacá-Huánuco-Huánuco
Defensor Amarilis,Amarilis,Campo Ureta Matibamba,Copa Perú,Huánuco,1983.0,41.0,Defensor Amarilis-Amarilis-Huánuco
Defensor Ambo,Ambo,Estadio Municipal de Ambo,Copa Perú,Huánuco,1932.0,92.0,Defensor Ambo-Ambo-Huánuco
Defensor ANDA,Aucayacu,Estadio Municipal de Aucayacu,Copa Perú,Huánuco,1977.0,47.0,Defensor ANDA-Aucayacu-Huánuco
Deportivo Unidad Sanitaria,Tingo María,Estadio IPD de Tingo María,Copa Perú,Huánuco,1952.0,72.0,Deportivo Unidad Sanitaria-Tingo María-Huánuco
Independiente Huachog,Huánuco,Estadio Municipal del Valle,Copa Perú,Huánuco,1980.0,44.0,Independiente Huachog-Huánuco-Huánuco
Juan Bielovucic,Huánuco,Estadio Heraclio Tapia,Copa Perú,Huánuco,1918.0,106.0,Juan Bielovucic-Huánuco-Huánuco
León de Huánuco,Huánuco,Estadio Heraclio Tapia,Copa Perú,Huánuco,1946.0,78.0,León de Huánuco-Huánuco-Huánuco
Lolo FC,Aucayacu,Estadio Municipal de Aucayacu,Copa Perú,Huánuco,1950.0,74.0,Lolo FC-Aucayacu-Huánuco
Mariano Santos,Tingo María,Estadio IPD de Tingo María,Copa Perú,Huánuco,1987.0,37.0,Mariano Santos-Tingo María-Huánuco
Racing Club de Ambo,Ambo,Estadio Municipal de Ambo,Copa Perú,Huánuco,1970.0,54.0,Racing Club de Ambo-Ambo-Huánuco
San Cristóbal,Huánuco,Estadio Heraclio Tapia,Copa Perú,Huánuco,1940.0,84.0,San Cristóbal-Huánuco-Huánuco
Social Molino,Molino,Estadio Municipal de Molino,Copa Perú,Huánuco,1951.0,73.0,Social Molino-Molino-Huánuco
Sport Aserradero,Aucayacu,Estadio Municipal de Aucayacu,Copa Perú,Huánuco,2008.0,16.0,Sport Aserradero-Aucayacu-Huánuco
Unión Olaya,Aucayacu,Estadio Municipal de Aucayacu,Copa Perú,Huánuco,1964.0,60.0,Unión Olaya-Aucayacu-Huánuco
Unión Naranjillo,Naranjillo,Estadio La Bombonera,Copa Perú,Huánuco,1940.0,84.0,Unión Naranjillo-Naranjillo-Huánuco
Unión Tingo María,Tingo María,Estadio IPD de Tingo María,Copa Perú,Huánuco,1964.0,60.0,Unión Tingo María-Tingo María-Huánuco
Volga FBC,Amarilis,Campo Ureta Matibamba,Copa Perú,Huánuco,1972.0,52.0,Volga FBC-Amarilis-Huánuco
Alejandro Villanueva,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1951.0,73.0,Alejandro Villanueva-Chincha-Ica
Alfonso Ugarte,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1924.0,100.0,Alfonso Ugarte-Ica-Ica
Alianza Cantoral,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1929.0,95.0,Alianza Cantoral-Santiago-Ica
Alianza Guadalupe,Salas,Estadio Juan de Dios Bolívar,Copa Perú,Ica,1931.0,93.0,Alianza Guadalupe-Salas-Ica
Alianza Juventud,San José de los Molinos,Estadio Mauro Bonifaz Valle,Copa Perú,Ica,1951.0,73.0,Alianza Juventud-San José de los Molinos-Ica
Alianza Pisco,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1923.0,101.0,Alianza Pisco-Pisco-Ica
Alianza Progreso,Grocio Prado,Estadio Municipal de Grocio Prado,Copa Perú,Ica,1942.0,82.0,Alianza Progreso-Grocio Prado-Ica
Alianza Subtanjalla,Subtanjalla,Estadio José Carlos Mariátiegui,Copa Perú,Ica,1959.0,65.0,Alianza Subtanjalla-Subtanjalla-Ica
Atlético Independiente,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1938.0,86.0,Atlético Independiente-Ica-Ica
Atlético Independiente,Parcona,Estadio Hugo Sotil,Copa Perú,Ica,1952.0,72.0,Atlético Independiente-Parcona-Ica
Atlético Junín,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1956.0,68.0,Atlético Junín-Ica-Ica
Atlético Libertad,Pueblo Nuevo,Estadio Pedro Tipacti Ríos,Copa Perú,Ica,1925.0,99.0,Atlético Libertad-Pueblo Nuevo-Ica
Atlético Luren,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1923.0,101.0,Atlético Luren-Ica-Ica
Atlético Pisqueño,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1931.0,93.0,Atlético Pisqueño-Pisco-Ica
Atlético Tejada,El Carmen,Estadio Félix Castillo,Copa Perú,Ica,1939.0,85.0,Atlético Tejada-El Carmen-Ica
Barcelona de Parcona,Parcona,Estadio Hugo Sotil,Copa Perú,Ica,1978.0,46.0,Barcelona de Parcona-Parcona-Ica
CAP San Francisco Javier de Trapiche,San José de los Molinos,Estadio Mauro Bonifaz Valle,Copa Perú,Ica,1979.0,45.0,CAP San Francisco Javier de Trapiche-San José de los Molinos-Ica
Carlos Orellana,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1976.0,48.0,Carlos Orellana-La Tinguiña-Ica
Construcción Civil,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1954.0,70.0,Construcción Civil-Chincha-Ica
Cultural 18 de Febrero,Parcona,Estadio Hugo Sotil,Copa Perú,Ica,1976.0,48.0,Cultural 18 de Febrero-Parcona-Ica
Defensor Mayta Cápac,El Carmen,Estadio Félix Castillo,Copa Perú,Ica,1976.0,48.0,Defensor Mayta Cápac-El Carmen-Ica
Defensor Mina,Marcona,Estadio Félix Franco Arias,Copa Perú,Ica,1959.0,65.0,Defensor Mina-Marcona-Ica
Defensor Rosario,Pachacutec,Estadio Luis M. Sánchez Cerro,Copa Perú,Ica,1963.0,61.0,Defensor Rosario-Pachacutec-Ica
Defensor Vista Alegre,Vista Alegre,Estadio Manuel Antonio Elías Santa Cruz,Copa Perú,Ica,1967.0,57.0,Defensor Vista Alegre-Vista Alegre-Ica
Defensor Zarumilla,Nazca,Estadio Municipal de Nasca,Copa Perú,Ica,1943.0,81.0,Defensor Zarumilla-Nazca-Ica
Deportivo América,Palpa,Estadio Julio Luque Tijeros,Copa Perú,Ica,1957.0,67.0,Deportivo América-Palpa-Ica
Deportivo Bernales,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1946.0,78.0,Deportivo Bernales-Pisco-Ica
Deportivo Boquense,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1970.0,54.0,Deportivo Boquense-Pisco-Ica
Deportivo Canyar,Chincha Baja,Estadio Diego de Almagro,Copa Perú,Ica,1945.0,79.0,Deportivo Canyar-Chincha Baja-Ica
Deportivo Capsa,Chincha Baja,Estadio Diego de Almagro,Copa Perú,Ica,1959.0,65.0,Deportivo Capsa-Chincha Baja-Ica
Deportivo Chanchajalla,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1963.0,61.0,Deportivo Chanchajalla-La Tinguiña-Ica
Deportivo Huracán,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1947.0,77.0,Deportivo Huracán-Ica-Ica
Deportivo Los Libertadores,San Clemente,Estadio Municipal,Copa Perú,Ica,1970.0,54.0,Deportivo Los Libertadores-San Clemente-Ica
Deportivo Lurinchincha,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1923.0,101.0,Deportivo Lurinchincha-Chincha-Ica
Deportivo Mina de Oro,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1938.0,86.0,Deportivo Mina de Oro-Chincha-Ica
Deportivo Municipal de Ica,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1945.0,79.0,Deportivo Municipal de Ica-Ica-Ica
Deportivo Municipal de Pueblo Nuevo,Pueblo Nuevo,Estadio Pedro Tipacti Ríos,Copa Perú,Ica,1940.0,84.0,Deportivo Municipal de Pueblo Nuevo-Pueblo Nuevo-Ica
Deportivo Municipal de Subtanjalla,Subtanjalla,Estadio José Carlos Mariátiegui,Copa Perú,Ica,1966.0,58.0,Deportivo Municipal de Subtanjalla-Subtanjalla-Ica
Deportivo Olímpico,San Clemente,Estadio Municipal,Copa Perú,Ica,1972.0,52.0,Deportivo Olímpico-San Clemente-Ica
Eleven Boys,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1948.0,76.0,Eleven Boys-Chincha-Ica
Francisco Oropeza,Nazca,Estadio Municipal de Nasca,Copa Perú,Ica,1944.0,80.0,Francisco Oropeza-Nazca-Ica
Independiente Cantayo,Nazca,Estadio Municipal de Nasca,Copa Perú,Ica,1946.0,78.0,Independiente Cantayo-Nazca-Ica
Independiente de Orongo,Parcona,Estadio Hugo Sotil,Copa Perú,Ica,1952.0,72.0,Independiente de Orongo-Parcona-Ica
Joe Gutierrez,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1997.0,27.0,Joe Gutierrez-Pisco-Ica
José Olaya,Marcona,Estadio Félix Franco Arias,Copa Perú,Ica,1970.0,54.0,José Olaya-Marcona-Ica
Juan Mata,Nazca,Estadio Municipal de Nasca,Copa Perú,Ica,1972.0,52.0,Juan Mata-Nazca-Ica
Juventud Aurora,Palpa,Estadio Julio Luque Tijeros,Copa Perú,Ica,1933.0,91.0,Juventud Aurora-Palpa-Ica
Juventud Aurora de Cachiche,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1924.0,100.0,Juventud Aurora de Cachiche-Ica-Ica
Juventud Balconcito,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1950.0,74.0,Juventud Balconcito-Chincha-Ica
Juventud Barrio Nuevo,Ocucaje,Estadio Robaldo Gabriel Hernández,Copa Perú,Ica,1969.0,55.0,Juventud Barrio Nuevo-Ocucaje-Ica
Juventud Barrios Altos,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1945.0,79.0,Juventud Barrios Altos-Chincha-Ica
Juventud Calle Nueva,Chincha Baja,Estadio Diego de Almagro,Copa Perú,Ica,1966.0,58.0,Juventud Calle Nueva-Chincha Baja-Ica
Juventud Chorrillos,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1921.0,103.0,Juventud Chorrillos-Chincha-Ica
Juventud Gloria,Salas,Estadio Juan de Dios Bolívar,Copa Perú,Ica,1933.0,91.0,Juventud Gloria-Salas-Ica
Juventud Huaca Grande,Sunampe,Estadio Santos Nagaro Bianchi,Copa Perú,Ica,1947.0,77.0,Juventud Huaca Grande-Sunampe-Ica
Juventud Huayabo,Sunampe,Estadio Santos Nagaro Bianchi,Copa Perú,Ica,1968.0,56.0,Juventud Huayabo-Sunampe-Ica
Juventud Independiente,Pachacutec,Estadio Luis M. Sánchez Cerro,Copa Perú,Ica,1938.0,86.0,Juventud Independiente-Pachacutec-Ica
Juventud Manuel Carrillo,San Andrés,Estadio Campeones del 69,Copa Perú,Ica,1972.0,52.0,Juventud Manuel Carrillo-San Andrés-Ica
Juventud Media Luna,Grocio Prado,Estadio Municipal de Grocio Prado,Copa Perú,Ica,1975.0,49.0,Juventud Media Luna-Grocio Prado-Ica
Juventud Miraflores,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1969.0,55.0,Juventud Miraflores-Chincha-Ica
Juventud Once Amigos,El Carmen,Estadio Félix Castillo,Copa Perú,Ica,1958.0,66.0,Juventud Once Amigos-El Carmen-Ica
Juventud Progresista,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1943.0,81.0,Juventud Progresista-Ica-Ica
Juventud Rosario,Chincha,Estadio Cruz Blanca,Copa Perú,Ica,1961.0,63.0,Juventud Rosario-Chincha-Ica
Juventud Santa Rosa,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1937.0,87.0,Juventud Santa Rosa-Ica-Ica
Juventud Subtanjalla,Subtanjalla,Estadio José Carlos Mariátegui,Copa Perú,Ica,1958.0,66.0,Juventud Subtanjalla-Subtanjalla-Ica
Los Ángeles FC,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1944.0,80.0,Los Ángeles FC-La Tinguiña-Ica
Mariscal Castilla,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1955.0,69.0,Mariscal Castilla-Pisco-Ica
Mariscal Sucre,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1934.0,90.0,Mariscal Sucre-La Tinguiña-Ica
