Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Atlético Mollendo,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1946.0,78.0,Atlético Mollendo-Mollendo-Arequipa
Atlético Pedregal,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,1992.0,32.0,Atlético Pedregal-El Pedregal-Arequipa
Atlético Perú,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1951.0,73.0,Atlético Perú-Characato-Arequipa
Atlético Simón Bolívar,Satélite,Estadio Simón Bolívar,Copa Perú,Arequipa,1967.0,57.0,Atlético Simón Bolívar-Satélite-Arequipa
Atlético Universidad,Arequipa,Estadio Monumental de la UNSA,Copa Perú,Arequipa,1964.0,60.0,Atlético Universidad-Arequipa-Arequipa
Benfica,Alto Selva Alegre,Complejo Deportivo Alto Selva Alegre,Copa Perú,Arequipa,1968.0,56.0,Benfica-Alto Selva Alegre-Arequipa
Boca Juniors,Mollendo,Estadio Juan Carlos Oblitas,Copa Perú,Arequipa,1935.0,89.0,Boca Juniors-Mollendo-Arequipa
Boys Perú,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1958.0,66.0,Boys Perú-Cerro Colorado-Arequipa
Buenos Aires,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1935.0,89.0,Buenos Aires-Camaná-Arequipa
Defensor Lima de Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1983.0,41.0,Defensor Lima de Camaná-Camaná-Arequipa
Defensor Villa Lourdes,Mollendo,Estadio Juan Carlos Oblitas,Copa Perú,Arequipa,1972.0,52.0,Defensor Villa Lourdes-Mollendo-Arequipa
Deportivo Antiquilla,Yanahuara,Estadio Umacollo,Copa Perú,Arequipa,1954.0,70.0,Deportivo Antiquilla-Yanahuara-Arequipa
Deportivo Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1950.0,74.0,Deportivo Camaná-Camaná-Arequipa
Deportivo Earling Boys,Sachaca,Estadio Municipal Sachaca,Copa Perú,Arequipa,1947.0,77.0,Deportivo Earling Boys-Sachaca-Arequipa
Deportivo Estrella,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1928.0,96.0,Deportivo Estrella-Camaná-Arequipa
Deportivo Islay,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1957.0,67.0,Deportivo Islay-Mollendo-Arequipa
Deportivo Mistiano,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1919.0,105.0,Deportivo Mistiano-Arequipa-Arequipa
Deportivo Olímpico,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1923.0,101.0,Deportivo Olímpico-Camaná-Arequipa
Deportivo Orcopampa,Orcopampa,Estadio Municipal de Orcopampa,Copa Perú,Arequipa,,,Deportivo Orcopampa-Orcopampa-Arequipa
Deportivo Signos,Yura,Estadio Olímpico Ciudad de Dios,Copa Perú,Arequipa,,,Deportivo Signos-Yura-Arequipa
Deportivo Trueno,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1945.0,79.0,Deportivo Trueno-Aplao-Arequipa
El Porvenir,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1949.0,75.0,El Porvenir-Characato-Arequipa
Estrella del Misti,Cayma,Estadio La Tomilla,Copa Perú,Arequipa,1933.0,91.0,Estrella del Misti-Cayma-Arequipa
FBC Aurora,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1917.0,107.0,FBC Aurora-Arequipa-Arequipa
FBC Melgar,Arequipa,Estadio Monumental de la UNSA,Primera División,Arequipa,1915.0,109.0,FBC Melgar-Arequipa-Arequipa
FBC Ostende,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1922.0,102.0,FBC Ostende-Cerro Colorado-Arequipa
FBC Piérola,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1922.0,102.0,FBC Piérola-Arequipa-Arequipa
Futuro Majes,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,2001.0,23.0,Futuro Majes-El Pedregal-Arequipa
Inclán Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1920.0,104.0,Inclán Sport Club-Mollendo-Arequipa
Independencia,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1913.0,111.0,Independencia-Arequipa-Arequipa
Independiente,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1935.0,89.0,Independiente-Cocachacra-Arequipa
Independiente de Corire,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1943.0,81.0,Independiente de Corire-Corire-Arequipa
Internacional,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1895.0,129.0,Internacional-Arequipa-Arequipa
Jorge Chávez Atico,Atico,Estadio Municipal de Atico,Copa Perú,Arequipa,1987.0,37.0,Jorge Chávez Atico-Atico-Arequipa
Juvenil Andino,Cayma,Estadio La Tomilla,Copa Perú,Arequipa,1933.0,91.0,Juvenil Andino-Cayma-Arequipa
Juvenil Bellapampa,Socabaya,Cancha de Toros de ACPATPA,Copa Perú,Arequipa,1956.0,68.0,Juvenil Bellapampa-Socabaya-Arequipa
Juvenil Huancarqui,Huancarqui,Estadio Municipal de Huancarqui,Copa Perú,Arequipa,1945.0,79.0,Juvenil Huancarqui-Huancarqui-Arequipa
Juventus Corazón,Majes,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,,,Juventus Corazón-Majes-Arequipa
La Colina,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,2010.0,14.0,La Colina-El Pedregal-Arequipa
La Unión,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1949.0,75.0,La Unión-Characato-Arequipa
León del Sur,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1938.0,86.0,León del Sur-Arequipa-Arequipa
Marítimo Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1923.0,101.0,Marítimo Sport Club-Mollendo-Arequipa
Nacional FBC,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1923.0,101.0,Nacional FBC-Mollendo-Arequipa
Primero de Mayo,Matarani,Estadio Juan Teodoro Medina,Copa Perú,Arequipa,1964.0,60.0,Primero de Mayo-Matarani-Arequipa
Rayo Chachani,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1943.0,81.0,Rayo Chachani-Cerro Colorado-Arequipa
Real Castilla,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1977.0,47.0,Real Castilla-Cerro Colorado-Arequipa
